<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,10,20170105,18:10,171.8100000,171.9700000,171.5400000,171.7400000,898990
SBER,10,20170105,18:20,171.7300000,172.0400000,171.6000000,172.0200000,909650
SBER,10,20170105,18:30,171.9500000,172.0500000,171.5600000,171.8000000,2177600
SBER,10,20170105,18:40,171.9000000,171.9000000,171.9000000,171.9000000,1043440
SBER,10,20170106,10:00,172.4100000,172.5000000,171.8000000,171.9700000,935350
SBER,10,20170106,10:10,171.9700000,173.0600000,171.9700000,172.6200000,1286840
SBER,10,20170106,10:20,172.6200000,172.8000000,172.0500000,172.5900000,404440
SBER,10,20170106,10:30,172.5500000,172.8600000,172.4700000,172.6900000,417710
SBER,10,20170106,10:40,172.7500000,172.9000000,172.4000000,172.4800000,564690
SBER,10,20170106,10:50,172.5000000,172.8100000,172.4700000,172.7200000,339750
SBER,10,20170106,11:00,172.7300000,173.7500000,172.4700000,172.4700000,2029610
SBER,10,20170106,11:10,172.5000000,172.5200000,171.5900000,171.9000000,1184750
SBER,10,20170106,11:20,171.8800000,171.8800000,171.3700000,171.5700000,946460
SBER,10,20170106,11:30,171.5600000,171.8300000,170.7500000,170.8200000,1277620
SBER,10,20170106,11:40,170.8200000,171.1000000,170.6000000,170.8900000,911460
SBER,10,20170106,11:50,170.8600000,171.0500000,170.5700000,170.5800000,614910
SBER,10,20170106,12:00,170.5700000,171.1100000,170.5700000,171.0600000,520010
SBER,10,20170106,12:10,171.0200000,171.6200000,171.0200000,171.6200000,726400
SBER,10,20170106,12:20,171.6200000,171.9700000,171.4500000,171.6000000,783840
SBER,10,20170106,12:30,171.6100000,171.6300000,171.1700000,171.3100000,522300
SBER,10,20170106,12:40,171.3100000,171.4500000,171.0200000,171.2900000,381570
SBER,10,20170106,12:50,171.2900000,171.5400000,171.0300000,171.1000000,266440
SBER,10,20170106,13:00,171.1000000,171.1300000,170.1700000,170.3200000,1400340
SBER,10,20170106,13:10,170.3200000,170.6000000,170.1700000,170.2200000,711680
